,Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Hematoxylin OD mean,Nucleus: Hematoxylin OD sum,Nucleus: Hematoxylin OD std dev,Nucleus: Hematoxylin OD max,Nucleus: Hematoxylin OD min,Nucleus: Hematoxylin OD range,Nucleus: Eosin OD mean,Nucleus: Eosin OD sum,Nucleus: Eosin OD std dev,Nucleus: Eosin OD max,Nucleus: Eosin OD min,Nucleus: Eosin OD range
372085,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,1613651d-eda6-4c49-9474-d3680fa7a62f,Cell,,,Annotation,Polygon,9383.3,11021.6,64.25,44.886,0.4007,15.8654,8.2547,0.9094,0.76,200.647,0.1858,1.2355,0.2705,0.9649,0.6255,165.139,0.1974,1.0522,-0.0201,1.0723
372112,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,d775a84f-0492-430a-ba2d-3e761c20da81,Cell,,,Annotation,Polygon,9469.1,11029.9,44.75,30.1131,0.6201,10.7566,6.6027,0.8165,0.8587,158.8589,0.2387,1.316,0.2926,1.0235,0.6234,115.3203,0.23,1.0379,-0.1426,1.1805
372128,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,4bab21d0-f745-45eb-982b-98d673145a8d,Cell,,,Annotation,Polygon,9182.2,11030.9,46.5,33.843,0.5102,12.4593,6.4681,0.9011,0.781,144.4843,0.1295,1.1847,0.4421,0.7426,0.7666,141.8192,0.1077,1.0253,0.3715,0.6538
372129,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,57a8cd17-5809-43c7-9bff-57a8c5e50ae5,Cell,,,Annotation,Polygon,9195.0,11030.8,42.75,27.8606,0.6921,11.3341,5.8926,0.837,0.8418,147.3068,0.1245,1.1789,0.4912,0.6877,0.7349,128.6086,0.1095,1.0231,0.3985,0.6245
372141,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,abc8c05b-9b40-41a1-9ffa-354e8e768138,Cell,,,Annotation,Polygon,9248.5,11033.9,46.75,28.8988,0.7034,11.7968,6.1447,0.87,0.8683,167.5864,0.1458,1.2329,0.3838,0.8491,0.6629,127.9335,0.2003,0.9471,-0.0449,0.992
372143,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,85e9bf3b-8be5-4137-bc2f-3df28ad36d33,Cell,,,Annotation,Polygon,9021.9,11035.3,42.5,26.6319,0.753,9.4752,6.7191,0.7516,0.8056,140.1783,0.1956,1.6015,0.2765,1.3251,0.717,124.7604,0.2192,1.312,-0.0148,1.3268
372153,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,66f14b63-fca2-423b-9ef4-2f739b6740ca,Cell,,,Annotation,Polygon,9207.5,11038.0,45.75,29.4121,0.6646,11.6101,5.9647,0.8655,0.8436,156.0621,0.18,1.1524,0.3642,0.7883,0.7142,132.1252,0.1218,1.0693,0.3727,0.6966
372161,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,7ed3daa4-970d-43f0-8da0-be5021c7705e,Cell,,,Annotation,Polygon,9563.9,11038.8,43.25,29.1445,0.6399,10.8106,6.6047,0.8415,0.8628,150.9896,0.1254,1.2162,0.5053,0.7109,0.7044,123.2749,0.1335,0.9966,0.1768,0.8198
372164,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,c340eda9-8aeb-4494-841b-8c8272a87022,Cell,,,Annotation,Polygon,9171.2,11039.6,62.5,45.0989,0.3862,14.584,8.3649,0.8004,0.7862,199.6891,0.1519,1.2161,0.4945,0.7217,0.7592,192.8395,0.1064,1.0127,0.4251,0.5875
372178,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,b8a33233-d70c-461d-83f6-1f3d108882e5,Cell,,,Annotation,Polygon,9277.6,11045.5,76.0,36.7657,0.7065,14.2546,7.428,0.8603,0.8733,268.0955,0.1657,1.3525,0.3096,1.0429,0.7014,215.338,0.208,1.43,-0.2759,1.7059
